,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
74,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Biff's Bistro,823,43.647084825125084,-79.37634231908494,French Restaurant
75,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,El Catrin,747,43.650600737116996,-79.35892024942333,Mexican Restaurant
76,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Victoria's Restaurant,712,43.64929834396347,-79.37643067251867,Restaurant
77,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Works Gourmet Burger Bistro,572,43.648742,-79.374142,Restaurant
78,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Meridian Hall,859,43.646292124205594,-79.37602179505662,Concert Hall
79,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Starbucks,779,43.644489,-79.368639,Coffee Shop
80,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Equinox Bay Street,1027,43.64809974034856,-79.37998869411526,Gym
81,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Sumach Espresso,1014,43.65813540553308,-79.35951549011845,Coffee Shop
82,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,HomeSense,929,43.6530533,-79.3794496,Furniture / Home Store
83,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Craft Beer Market,847,43.6498722789121,-79.37839828995996,Beer Bar
84,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,UNIQLO ユニクロ,1122,43.65591027779457,-79.38064099181345,Clothing Store
85,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Impact Kitchen,1049,43.65636850543279,-79.35697968750694,Restaurant
86,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Souk Tabule,1134,43.65375556880743,-79.35439006096168,Mediterranean Restaurant
87,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Indigo,1038,43.65351471121164,-79.38069591056922,Bookstore
88,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Corktown Common,1063,43.655617799749734,-79.3562113397429,Park
89,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,LCBO,1011,43.64294379917171,-79.37243989044406,Liquor Store
90,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Sugar Beach,903,43.643379816203485,-79.36744155499679,Beach
